model,model_key,cv_scheme,replication,seed_train,seed_test,param_name,selected_param,cv_est_error,test_error,cv_time_seconds,dgp_n,f_id,error_model,error_params,cv_bias
xgb,xgb,naive,0,338,1115,max_depth,6.0,0.19843520543492865,1.2326401218904715,0.3756828308105469,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.034204916455543
xgb,xgb,block,0,338,1115,max_depth,2.0,1.5717415706290985,1.1862651483255477,0.3727550506591797,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.3854764223035507
xgb,xgb,block_buffered,0,338,1115,max_depth,2.0,2.37249356934864,1.2128250881916087,0.37148118019104004,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",1.1596684811570315
xgb,xgb,walk_forward,0,338,1115,max_depth,2.0,1.3096580307377155,1.2332613708564728,0.42252683639526367,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.07639665988124267
xgb,xgb,naive,1,1338,2115,max_depth,6.0,0.19378200728752834,1.3420758928359344,0.36547303199768066,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.1482938855484062
xgb,xgb,block,1,1338,2115,max_depth,2.0,1.2205514368321615,1.2633967479036758,0.36156797409057617,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.04284531107151435
xgb,xgb,block_buffered,1,1338,2115,max_depth,2.0,1.0324808889318988,1.232202622313952,0.35561108589172363,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.19972173338205312
xgb,xgb,walk_forward,1,1338,2115,max_depth,3.0,0.7811621326663619,1.2197351443819877,0.4224379062652588,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.4385730117156258
xgb,xgb,naive,2,2338,3115,max_depth,5.0,0.22129218306044546,1.7163759019858404,0.36336398124694824,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.495083718925395
xgb,xgb,block,2,2338,3115,max_depth,2.0,0.8600487710746547,1.6903916053803918,0.3608250617980957,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.8303428343057371
xgb,xgb,block_buffered,2,2338,3115,max_depth,2.0,1.1086790062717784,1.5612966906459982,0.3628380298614502,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.4526176843742198
xgb,xgb,walk_forward,2,2338,3115,max_depth,2.0,1.3227350286799557,1.665315406955608,0.4222409725189209,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.34258037827565224
xgb,xgb,naive,3,3338,4115,max_depth,5.0,0.21402975623860554,1.2748931765501321,0.36794209480285645,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.0608634203115266
xgb,xgb,block,3,3338,4115,max_depth,2.0,1.5094117778009633,1.1298721273271959,0.36873602867126465,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.37953965047376736
xgb,xgb,block_buffered,3,3338,4115,max_depth,2.0,1.0736787359278501,1.0966352483350552,0.36026501655578613,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.022956512407205087
xgb,xgb,walk_forward,3,3338,4115,max_depth,2.0,1.4055687653951516,1.1115336173398704,0.4187901020050049,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.2940351480552812
xgb,xgb,naive,4,4338,5115,max_depth,5.0,0.194630501702104,1.5645325704637727,0.37990903854370117,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.3699020687616688
xgb,xgb,block,4,4338,5115,max_depth,2.0,0.8366214082899806,1.4379407315331876,0.3762669563293457,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.601319323243207
xgb,xgb,block_buffered,4,4338,5115,max_depth,3.0,0.8636883157414024,1.5059017367868093,0.3596370220184326,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.6422134210454069
xgb,xgb,walk_forward,4,4338,5115,max_depth,2.0,1.5286874773282813,1.4757699557951507,0.4194951057434082,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.05291752153313056
xgb,xgb,naive,5,5338,6115,max_depth,5.0,0.22094736153950886,2.020857802895942,0.3710899353027344,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.7999104413564333
xgb,xgb,block,5,5338,6115,max_depth,2.0,1.044209588216116,1.9718235420826347,0.37339186668395996,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.9276139538665187
xgb,xgb,block_buffered,5,5338,6115,max_depth,2.0,1.1957885577235863,1.8658846365091102,0.3675880432128906,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.6700960787855239
xgb,xgb,walk_forward,5,5338,6115,max_depth,2.0,1.694324913296814,1.9023127737241048,0.41432690620422363,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-0.2079878604272909
xgb,xgb,naive,6,6338,7115,max_depth,6.0,0.2264893376457172,1.472067132855368,0.3644399642944336,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",-1.245577795209651
xgb,xgb,block,6,6338,7115,max_depth,2.0,1.803455661988588,1.3676272740978868,0.36422085762023926,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.4358283878907012
xgb,xgb,block_buffered,6,6338,7115,max_depth,2.0,1.3649356615528832,1.3469905551856474,0.3610067367553711,1000,smooth_trend,arima,"{'p': 2, 'd': 0, 'q': 10, 'sigma': 0.45}",0.017945106367235786
